,Title,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Distributor
0,Attack of the Doc!,['Documentary'],English,Chris Gore,,Chris Gore,,"Apr 24, 2023",1h 28m,Indie Rights
1,Scream VI,"['Horror', 'Mystery & thriller']",English,"Matt Bettinelli-Olpin,Tyler Gillett","William Sherak,James Vanderbilt,Paul Neinstein","James Vanderbilt,Guy Busick","Mar 10, 2023wide","Apr 25, 2023",2h 3m,Paramount Pictures
2,The Tank,"['Horror', 'Mystery & thriller']",English,Scott Walker,"Scott Walker,Matthew Metcalfe",Scott Walker,"Apr 21, 2023limited","Apr 25, 2023",1h 40m,Well Go USA Entertainment
3,Beautiful Beings,['Drama'],Icelandic,Guðmundur Arnar Guðmundsson,Anton Máni Svansson,Guðmundur Arnar Guðmundsson,"Jan 13, 2023limited","Apr 25, 2023",2h 3m,Altered Innocence
4,John Mulaney: Baby J,"['Comedy', 'Stand-up']",English,Alex Timbers,,John Mulaney,,"Apr 25, 2023",1h 20m,Netflix
5,Exhibit #8,"['Horror', 'Mystery & thriller']",English,Ruben Broekhuis,Monique van Kessel,Sarah Offringa,,"Apr 25, 2023",1h 16m,Gravitas Ventures
6,Hungry Dog Blues,['Mystery & thriller'],English,Jason Abrams,"Jason Abrams,Irina Gorovaia,Michael Kennedy",Jason Abrams,,"Apr 25, 2023",1h 15m,Freestyle Digital Media
7,The Artifice Girl,"['Sci-fi', 'Mystery & thriller']",English,Franklin Ritch,"Aaron B. Koontz,Ashleigh Snead",Franklin Ritch,"Apr 27, 2023limited","Apr 27, 2023",1h 33m,XYZ Films
8,Mobile Suit Gundam: Cucuruz Doan's Island,"['Sci-fi', 'Anime']",Japanese,Yoshikazu Yasuhiko,,Toshizo Nemoto,"Sep 27, 2022limited","Apr 27, 2023",1h 49m,Crunchyroll
9,The Quintessential Quintuplets Movie,"['Romance', 'Comedy', 'Anime']",Japanese,Masato Jinbo,,Keiichiro Ochi,"Dec 2, 2022limited","Apr 27, 2023",2h 15m,Crunchyroll
10,Peter Pan & Wendy,"['Kids & family', 'Fantasy', 'Adventure']",English,David Lowery,James Whitaker,,,"Apr 28, 2023",1h 46m,Disney+
11,Clock,"['Horror', 'Mystery & thriller']",English,Alexis Jacknow,Leal Naim,Alexis Jacknow,,"Apr 28, 2023",1h 32m,Hulu
12,Freaks vs the Reich,"['Mystery & thriller', 'Fantasy', 'War']",Italian,Gabriele Mainetti,"Andrea Occhipinti,Gabriele Mainetti","Nicola Guaglianone,Gabriele Mainetti","Apr 28, 2023limited","Apr 28, 2023",2h 21m,VMI Worldwide
13,Snag,"['Action', 'Mystery & thriller']",English,Ben Milliken,"Ben Milliken,Lamar Billups,Doug Metzger",Brent Tarnol,"Apr 28, 2023limited","Apr 28, 2023",1h 27m,Paramount Global Content Distribution
14,Morgan's Mask,['Drama'],English,Trevor Rigby,"Guillermo Iván,Zair Montes,Carolina Ravassa,Trevor Rigby",Trevor Rigby,,"Apr 28, 2023",1h 48m,Cranked Up Films
15,Ghosted,"['Action', 'Romance', 'Adventure']",English,Dexter Fletcher,"Jules Daly,David Ellison,Chris Evans,Dana Goldberg,Don Granger,Rhett Reese,Paul Wernick","Chris McKenna,Rhett Reese,Paul Wernick",,"Apr 21, 2023",1h 56m,Apple TV+
16,A Thousand and One,['Drama'],English,A.V. Rockwell,"Eddie Vaisman,Julia Lebedev,Lena Waithe,Rishi Rajani,Brad Weston",A.V. Rockwell,"Mar 31, 2023wide","Apr 18, 2023",1h 57m,Focus Features
17,The Last Kingdom: Seven Kings Must Die,"['Action', 'History', 'Drama']",English (United Kingdom),Edward Bazalgette,"Mat Chaplin,Nigel Marchant,Gareh Neame","Bernard Cornwell,Martha Hillier",,"Apr 14, 2023",2h 0m,Netflix
18,Ant-Man and The Wasp: Quantumania,"['Action', 'Adventure', 'Fantasy', 'Comedy']",English,Peyton Reed,"Kevin Feige,Stephen Broussard",Jeff Loveness,"Feb 17, 2023wide","Apr 18, 2023",2h 4m,Walt Disney Pictures
19,Mighty Morphin Power Rangers: Once & Always,"['Action', 'Adventure', 'Kids & family']",English,Charlie Haskell,,,,"Apr 19, 2023",55m,Netflix
20,The Snowman,"['Mystery & thriller', 'Crime', 'Drama']",English,Tomas Alfredson,"Tim Bevan,Eric Fellner,Peter Gustafsson,Robyn Slovo","Peter Straughan,Hossein Amini,Søren Sveistrup","Oct 20, 2017wide","Jan 2, 2018",2h 25m,Universal Pictures
21,Juniper,['Drama'],English,Matthew J. Saville,"Desray Armstrong,Angela Littlejohn",Matthew J. Saville,"Feb 24, 2023limited","Apr 4, 2023",1h 34m,Greenwich Entertainment
22,Cocaine Bear,"['Mystery & thriller', 'Comedy']",English,Elizabeth Banks,"Phil Lord,Chris Miller,Elizabeth Banks,Max Handelman,Brian Duffield,Aditya Sood,Matt Reilly,Christine Sun",Jimmy Warden,"Feb 24, 2023wide","Mar 21, 2023",1h 35m,Universal Pictures
23,Cherry,"['Comedy', 'Drama']",English,Sophie Galibert,"Shincy Lu,Sophie Galibert,Philippe Gompel,Arthur Cohen","Sophie Galibert,Arthur Cohen,Anne-Claire Jaulin","Apr 21, 2023limited","Apr 21, 2023",1h 16m,Entertainment Squad
24,65,"['Sci-fi', 'Adventure', 'Action', 'Mystery & thriller']",English,"Scott Beck,Bryan Woods","Sam Raimi,Deborah Liebling,Zainab Azizi,Scott Beck,Bryan Woods","Scott Beck,Bryan Woods","Mar 10, 2023wide","Apr 7, 2023",1h 33m,Columbia Pictures
25,Rye Lane,"['Romance', 'Comedy', 'Drama']",English,Raine Allen Miller,"Yvonne Isimeme Ibazebo,Damian Jones","Nathan Bryon,Tom Melia",,"Mar 31, 2023",1h 22m,Hulu
26,A Good Person,['Drama'],English,Zach Braff,"Zach Braff,Pamela Koffler,Christina Piovesan,Florence Pugh,Noah Segal,Christine Vachon",Zach Braff,"Mar 24, 2023wide","Apr 11, 2023",2h 9m,United Artists Releasing
27,Shazam! Fury of the Gods,"['Action', 'Adventure', 'Comedy', 'Fantasy']",English,David F. Sandberg,Peter Safran,"Henry Gayden,Chris Morgan","Mar 17, 2023wide","Apr 7, 2023",2h 10m,Warner Bros. Pictures
28,Tetris,"['Mystery & thriller', 'Biography', 'Drama']",English,Jon S. Baird,"Gillian Berrie,Len Blavatnik,Gregor Cameron,Claudia Schiffer,Matthew Vaughn",Noah Pink,"Mar 24, 2023limited","Mar 31, 2023",1h 58m,Apple TV+
29,Quasi,['Comedy'],English,Kevin Heffernan,"John Cheng,Richard Perello,Russell Simmons,Jake Stein","Jay Chandrasekhar,Kevin Heffernan,Steve Lemme,Paul Soter,Erik Stolhanske",,"Apr 20, 2023",,Hulu
30,Huesera: The Bone Woman,"['Horror', 'Mystery & thriller']",Spanish,Michelle Garza Cervera,"Paulina Villavicencio,Edher Campos","Michelle Garza Cervera,Abia Castillo","Feb 10, 2023limited","Feb 16, 2023",1h 33m,XYZ Films
31,Avatar: The Way of Water,"['Sci-fi', 'Adventure', 'Action', 'Fantasy']",English,James Cameron,"James Cameron,Jon Landau","James Cameron,Rick Jaffa,Amanda Silver","Dec 16, 2022wide","Mar 28, 2023",3h 12m,20th Century Studios
32,Judy Blume Forever,"['Documentary', 'Biography']",English,"Davina Pardo,Leah Wolchok","Sara Bernstein,Brian Grazer,Ron Howard,Davina Pardo,Marcella Steingart,Justin Wilkes,Leah Wolchok",,"Apr 21, 2023limited","Apr 21, 2023",1h 37m,Amazon Studios
33,Nope,"['Sci-fi', 'Horror', 'Mystery & thriller']",English,Jordan Peele,"Jordan Peele,Ian Cooper",Jordan Peele,"Jul 22, 2022wide","Nov 18, 2022",2h 15m,Universal Pictures
34,Everything Everywhere All at Once,"['Comedy', 'Adventure', 'Sci-fi', 'Fantasy']",English,"Dan Kwan,Daniel Scheinert","Joe Russo,Anthony Russo,Mike Larocca,Dan Kwan,Daniel Scheinert,Jonathan Wang","Dan Kwan,Daniel Scheinert","Apr 8, 2022wide","Jun 7, 2022",2h 12m,A24
35,Little Richard: I Am Everything,"['Documentary', 'Music', 'Biography']",English,Lisa Cortes,"Lisa Cortes,Robert Friedman,Liz Yale Marsh,Caryn Capotosto",,"Apr 11, 2023limited","Apr 21, 2023",1h 38m,Magnolia Pictures
36,Operation Fortune: Ruse de guerre,"['Action', 'Comedy', 'Mystery & thriller']",English,Guy Ritchie,"Ivan Atkinson,Bill Block,Steve Chasman,Guy Ritchie,Jason Statham","Guy Ritchie,Ivan Atkinson,Marn Davies","Mar 3, 2023wide","Mar 21, 2023",1h 54m,Lionsgate
37,A Tourist's Guide to Love,['Romance'],English,Steven K. Tsuchida,"Rachael Leigh Cook,Joel S. Rice",Eirene Donohue,,"Apr 21, 2023",1h 34m,Netflix
38,A Man Called Otto,"['Comedy', 'Drama']",English,Marc Forster,"Fredrik Wikström,Rita Wilson,Tom Hanks,Gary Goetzman",David Magee,"Jan 13, 2023wide","Feb 28, 2023",2h 6m,Columbia Pictures
39,The Whale,['Drama'],English,Darren Aronofsky,,Samuel D. Hunter,"Dec 21, 2022wide","Feb 21, 2023",1h 57m,A24
40,The Menu,"['Horror', 'Mystery & thriller', 'Comedy']",English,Mark Mylod,"Adam McKay,Betsy Koch,Will Ferrell","Seth Reiss,Will Tracy","Nov 18, 2022wide","Jan 3, 2023",1h 47m,Searchlight Pictures
41,Infinity Pool,"['Horror', 'Mystery & thriller', 'Sci-fi']",English,Brandon Cronenberg,"Andrew Cividino,Rob Cotterill,Jonathan Halperyn,Karen Harnisch,Anita Juka,Daniel Kresmery,Christina Piovesan,Noah Segal",Brandon Cronenberg,"Jan 27, 2023wide","Feb 14, 2023",1h 57m,NEON
42,Lamborghini: The Man Behind the Legend,"['Biography', 'Drama']",English,Bobby Moresco,"Andrea Iervolino,Monika Bacardi,Danielle Maloni,Allen Dam",Bobby Moresco,"Nov 18, 2022limited","Nov 18, 2022",1h 37m,Lionsgate
43,M3GAN,"['Horror', 'Mystery & thriller', 'Sci-fi', 'Comedy']",English,Gerard Johnstone,"Jason Blum,James Wan,Couper Samuelson",Akela Cooper,"Jan 6, 2023wide","Jan 24, 2023",1h 42m,Universal Pictures
44,Puss in Boots: The Last Wish,"['Kids & family', 'Comedy', 'Adventure', 'Animation']",English,Joel Crawford,Mark Swift,"Paul Fisher,Tommy Swerdlow","Dec 21, 2022wide","Jan 6, 2023",1h 42m,Universal Pictures
45,Missing,['Mystery & thriller'],English,"Will Merrick,Nicholas D. Johnson","Natalie Qasabian,Sev Ohanian,Aneesh Chaganty","Will Merrick,Nicholas D. Johnson","Jan 20, 2023wide","Mar 7, 2023",1h 51m,Screen Gems
46,Whitney Houston: I Wanna Dance with Somebody,"['Biography', 'Drama', 'Music']",English,Kasi Lemmons,"Anthony McCarten,Patricia Houston,Clive Davis,Larry Mestel,Denis O'Sullivan,Jeff Kalligheri,Matt Jackson,Molly Smith,Trent Luckinbill,Thad Luckinbill,Matthew Salloway,Christina Papagjika",Anthony McCarten,"Dec 23, 2022wide","Feb 28, 2023",2h 26m,TriStar Pictures
47,The Offering,"['Horror', 'Mystery & thriller']",English,Oliver Park,"Les Weldon,Yariv Lerner,Jeffrey Greenstein,Jonathan Yunger,Hank Hoffman,Sam Schulte",Hank Hoffman,"Jan 13, 2023limited","Jan 13, 2023",1h 33m,Decal
48,Creed III,"['Drama', 'Action']",English,Michael B. Jordan,"Irwin Winkler,Charles Winkler,William Chartoff,David Winkler,Ryan Coogler,Michael B. Jordan,Elizabeth Raposo,Jonathan Glickman,Sylvester Stallone","Keenan Coogler,Zach Baylin","Mar 3, 2023wide","Mar 31, 2023",1h 56m,United Artists Releasing
49,Nobody,"['Action', 'Mystery & thriller', 'Comedy']",English,Ilya Naishuller,"Kelly McCormick,David Leitch,Braden Aftergood,Bob Odenkirk,Marc Provissiero",Derek Kolstad,"Mar 26, 2021wide","Apr 15, 2021",1h 32m,Universal Pictures
50,Knock at the Cabin,"['Mystery & thriller', 'Drama']",English,M. Night Shyamalan,"M. Night Shyamalan,Marc Bienstock,Ashwin Rajan","M. Night Shyamalan,Steve Desmond,Michael Sherman","Feb 3, 2023wide","Feb 21, 2023",1h 40m,Universal Pictures
51,Longest Third Date,['Documentary'],English,Brent Hodge,,,,"Apr 18, 2023",1h 15m,Netflix
52,X,"['Horror', 'Mystery & thriller']",English,Ti West,"Jacob Jaffke,Kevin Turen,Harrison Kreiss",Ti West,"Mar 18, 2022wide","Apr 14, 2022",1h 45m,A24
53,Hereditary,"['Horror', 'Mystery & thriller']",English,Ari Aster,"Kevin Scott Frakes,Lars Knudsen,Buddy Patrick",Ari Aster,"Jun 8, 2018wide","Sep 4, 2018",2h 7m,A24
54,Babylon,"['Comedy', 'Drama']",English,Damien Chazelle,"Marc Platt,Matthew Plouffe,Olivia Hamilton",Damien Chazelle,"Dec 23, 2022wide","Jan 31, 2023",3h 9m,Paramount Pictures
55,Jesus Revolution,"['Drama', 'History']",English,"Jon Erwin,Brent McCorkle","Kevin Downes,Andrew Erwin,Jon Erwin,Greg Laurie,Josh Walsh,Daryl C. Lefever","Jon Gunn,Jon Erwin","Feb 24, 2023wide","Apr 11, 2023",1h 59m,Lionsgate
56,The Banshees of Inisherin,['Comedy'],English,Martin McDonagh,"Graham Broadbent,Peter Czernin,Martin McDonagh",Martin McDonagh,"Nov 4, 2022wide","Dec 13, 2022",1h 49m,Searchlight Pictures
57,Attachment,"['Drama', 'Mystery & thriller', 'Horror', 'Comedy', 'Romance', 'Lgbtq+']",Danish,Gabriel Bier Gislason,Thomas Heinesen,"Gabriel Bier Gislason,Gabriel Bier Gislason",,"Feb 9, 2023",1h 45m,
58,Plane,"['Action', 'Adventure', 'Mystery & thriller']",English,Jean-François Richet,"Lorenzo di Bonaventura,Mark Vahradian,Marc Butan,Gerard Butler,Alan Siegel,Jason Constantine,Eda Kowan,Ara Keshishian","Charles Cumming,J.P. Davis","Jan 13, 2023wide","Feb 2, 2023",1h 47m,Lionsgate
59,Bullet Train,"['Action', 'Comedy']",English,David Leitch,"Kelly McCormick,David Leitch,Antoine Fuqua",Zak Olkewicz,"Aug 5, 2022wide","Dec 3, 2022",2h 6m,Columbia Pictures
60,Ticket to Paradise,"['Romance', 'Comedy']",English,Ol Parker,"Tim Bevan,Eric Fellner,Sarah Harvey,Deborah Balderstone","Ol Parker,Daniel Pipski","Oct 21, 2022wide","Dec 9, 2022",1h 44m,Universal Pictures
61,Smile,"['Horror', 'Mystery & thriller']",English,Parker Finn,"Marty Bowen,Wyck Godfrey,Isaac Klausner,Robert Salerno",Parker Finn,"Sep 30, 2022wide","Nov 15, 2022",1h 56m,Paramount Pictures
62,War of the Worlds: The Attack,"['Sci-fi', 'Mystery & thriller']",English (United Kingdom),Junaid Syed,"Hayley Medwell,Junaid Syed,Jatinder Kumar Bhardwaj",,"Apr 21, 2023limited","Apr 21, 2023",1h 20m,Vertical
63,Chupa,"['Kids & family', 'Adventure', 'Fantasy']",English,Jonás Cuarón,"Chris Columbus,Mark Radcliffe,Michael Barnathan","Sean Kennedy Moore,Joe Barnathan,Marcus Rinehart,Brendan Bellomo","Apr 7, 2023limited","Apr 7, 2023",1h 35m,Netflix
64,I See You,['Mystery & thriller'],English,Adam Randall,Matt Waldeck,Devon Graye,"Dec 6, 2019limited","Dec 5, 2019",1h 36m,Saban Films
65,Murder Mystery 2,"['Comedy', 'Mystery & thriller', 'Action', 'Crime']",English,Jeremy Garelick,"Jennifer Aniston,Allen Covert,Adam Sandler,James D. Stern,James Vanderbilt,Tripp Vinson",James Vanderbilt,"Mar 24, 2023limited","Mar 31, 2023",1h 30m,Netflix
66,Triangle of Sadness,['Comedy'],English,Ruben Östlund,"Philippe Bober,Erik Hemmendorff",Ruben Östlund,"Oct 7, 2022limited","Nov 22, 2022",2h 29m,NEON
67,Aftersun,['Drama'],English (United Kingdom),Charlotte Wells,"Mark Ceryak,Amy Jackson,Barry Jenkins,Adele Romanski",Charlotte Wells,"Oct 21, 2022limited","Dec 20, 2022",1h 41m,A24
68,Emily the Criminal,"['Crime', 'Drama', 'Mystery & thriller']",English,John Patton Ford,"Tyler Davidson,Aubrey Plaza,Drew Sykes",John Patton Ford,"Aug 12, 2022wide","Oct 28, 2022",1h 37m,"Vertical Entertainment, 
                            
                            Roadside Attractions"
69,The Mustang,['Drama'],English,Laure de Clermont-Tonnerre,Alain Goldman,"Laure de Clermont-Tonnerre,Mona Fastvold,Brock Norman Brock","Mar 15, 2019limited","Jun 4, 2019",1h 36m,Focus Features
70,The Evil Dead,['Horror'],English,Sam Raimi,Rob Tapert,Sam Raimi,"Oct 15, 1981original","Oct 1, 2002",1h 25m,New Line Cinema
71,Midsommar,"['Horror', 'Mystery & thriller']",English,Ari Aster,"Patrik Andersson,Lars Knudsen",Ari Aster,"Aug 30, 2019wide","Sep 24, 2019",2h 25m,A24
72,Top Gun: Maverick,"['Action', 'Adventure']",English,Joseph Kosinski,"Jerry Bruckheimer,Tom Cruise,David Ellison,Christopher McQuarrie","Ehren Kruger,Eric Warren Singer,Christopher McQuarrie","May 27, 2022wide","Aug 22, 2022",2h 11m,Paramount Pictures
73,His House,"['Horror', 'Mystery & thriller']",English (United Kingdom),Remi Weekes,"Martin Gentles,Ed King",Remi Weekes,,"Oct 30, 2020",1h 33m,
74,Sick,"['Horror', 'Mystery & thriller']",English,John Hyams,"Ben Fast,Kevin Williamson,Bill Block","Kevin Williamson,Katelyn Crabb",,"Jan 13, 2023",1h 23m,
75,John Wick,"['Action', 'Mystery & thriller']",English,Chad Stahelski,"Basil Iwanyk,David Leitch,Eva Longoria",Derek Kolstad,"Oct 24, 2014wide","Feb 3, 2015",1h 41m,Lionsgate Films
76,Living,['Drama'],English,Oliver Hermanus,"Stephen Woolley,Elizabeth Karlsen",Kazuo Ishiguro,"Dec 23, 2022limited","Mar 3, 2023",1h 42m,Sony Pictures Classics
77,Smoking Causes Coughing,['Comedy'],French (France),Quentin Dupieux,Hugo Sélignac,Quentin Dupieux,"Mar 31, 2023limited","Mar 31, 2023",1h 17m,Magnolia Pictures
78,Black Panther: Wakanda Forever,"['Action', 'Adventure', 'Fantasy']",English,Ryan Coogler,"Kevin Feige,Nate Moore","Ryan Coogler,Joe Robert Cole","Nov 11, 2022wide","Feb 1, 2023",2h 41m,Walt Disney Pictures
79,Leave No Trace,['Drama'],English,Debra Granik,"Anne Harrison,Linda Reisman,Anne Rosellini","Debra Granik,Anne Rosellini","Jun 29, 2018limited","Oct 2, 2018",1h 48m,Bleecker Street Media
80,The Innocents,"['Horror', 'Mystery & thriller']",Norwegian,Eskil Vogt,"Maria Ekerhovd,Misha Jaari,Mark Lwoff",Eskil Vogt,"May 13, 2022limited","May 13, 2022",1h 58m,IFC Midnight
81,Luther: The Fallen Sun,"['Crime', 'Drama', 'Mystery & thriller']",English (United Kingdom),Jamie Payne,"Peter Chernin,Neil Cross,Idris Elba,David Ready,Jenno Topping",Neil Cross,"Feb 24, 2023limited","Mar 10, 2023",2h 8m,Netflix
82,The Batman,"['Action', 'Adventure', 'Crime', 'Drama']",English,Matt Reeves,"Dylan Clark,Matt Reeves","Matt Reeves,Peter Craig","Mar 4, 2022wide","Apr 19, 2022",2h 56m,Warner Bros. Pictures
83,Barbarian,"['Horror', 'Mystery & thriller']",English,Zach Cregger,"Arnon Milchan,Roy Lee,Raphael Margules,J.D. Lifshitz",Zach Cregger,"Sep 9, 2022wide","Oct 25, 2022",1h 42m,20th Century Studios
84,The Fabelmans,['Drama'],English,Steven Spielberg,"Kristie Macosko Krieger,Steven Spielberg,Tony Kushner","Steven Spielberg,Tony Kushner","Nov 23, 2022wide","Dec 13, 2022",2h 31m,Universal Pictures
85,Hellbender,['Horror'],English,"John Adams,Zelda Adams,Toby Poser",Toby Poser,"Zelda Adams,Toby Poser,John Adams",,"Feb 24, 2022",1h 26m,
86,Where the Crawdads Sing,"['Drama', 'Mystery & thriller']",English,Olivia Newman,"Aislinn Dunster,Elizabeth Gabler,Reese Witherspoon,Erin Siminoff,Lauren Levy Neustadter",Lucy Alibar,"Jul 15, 2022wide","Sep 13, 2022",2h 5m,Sony Pictures Entertainment
87,Time Trap,"['Sci-fi', 'Adventure', 'Mystery & thriller']",English,"Mark Dennis,Ben Foster","Mark Dennis,Ben Foster",Mark Dennis,"Nov 2, 2018limited","Nov 15, 2018",1h 27m,Paladin
88,Champions,['Comedy'],English,Robert Farrelly,"Paul Brooks,Scott Niemeyer,Jeremy Plager",Mark Rizzo,"Mar 10, 2023wide","Mar 28, 2023",2h 3m,Focus Features
89,RRR,"['Action', 'Drama']",Telugu,S.S. Rajamouli,D.V.V. Danayya,"S.S. Rajamouli,Sai Madhav Burra","Mar 25, 2022wide","May 22, 2022",3h 7m,Sarigama Cinemas
90,Interstellar,"['Sci-fi', 'Adventure', 'Action']",English,Christopher Nolan,"Emma Thomas,Christopher Nolan,Lynda Obst","Jonathan Nolan,Christopher Nolan","Nov 7, 2014wide","Mar 31, 2015",2h 45m,Paramount Pictures
91,Tár,"['Drama', 'Music']",English,Todd Field,"Todd Field,Alexandra Milchan,Scott Lambert",Todd Field,"Oct 28, 2022wide","Dec 20, 2022",2h 38m,Focus Features
92,Chaos Walking,"['Sci-fi', 'Adventure']",English,Doug Liman,"Doug Davison,Allison Shearmur,Erwin Stoff,Alison Winter","Patrick Ness,Christopher Ford","Mar 5, 2021wide","Apr 2, 2021",1h 49m,Lionsgate Films
93,All Quiet on the Western Front,"['War', 'History', 'Drama', 'Action']",German,Edward Berger,"Malte Grunert,Daniel Dreifuss","Lesley Paterson,Ian Stokell","Oct 7, 2022limited","Oct 28, 2022",2h 28m,Netflix
94,The Hole in the Ground,"['Horror', 'Mystery & thriller']",English (United Kingdom),Lee Cronin,"John Keville,Conor Barry","Lee Cronin,Stephen Shields","Mar 1, 2019limited","Feb 26, 2019",1h 30m,A24
